Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 2:15 2% (2h05m left); send: 1766768 11.4 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:16 2% (2h05m left); send: 1780230 13.5 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:17 2% (2h05m left); send: 1793887 13.7 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:18 2% (2h05m left); send: 1808725 14.8 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:19 2% (2h04m left); send: 1823050 14.3 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:20 2% (2h04m left); send: 1838209 15.2 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:21 2% (2h04m left); send: 1853774 15.6 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:22 2% (2h04m left); send: 1868782 15.0 Kp/s (13.2 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:23 2% (2h04m left); send: 1880565 11.8 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
 2:24 2% (2h04m left); send: 1893775 13.2 Kp/s (13.1 Kp/s avg); recv: 878 0 p/s (6 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.05%
